timestamp,x,y,fix_quality,satellite_count,deviation_to_plan
2025-04-25T16:47:14.252724,3.75,2.30,,,4.399
2025-04-25T16:47:16.757412,3.44,3.77,,,3.653
2025-04-25T16:47:17.167280,3.13,5.24,,,3.139
2025-04-25T16:47:17.509084,2.82,6.71,,,3.298
2025-04-25T16:47:17.838667,2.51,8.18,,,3.100
2025-04-25T16:47:18.402435,2.18,9.75,,,2.194
2025-04-25T16:47:18.819815,1.85,11.32,,,2.273
2025-04-25T16:47:19.238940,1.52,12.89,,,2.600
2025-04-25T16:47:19.658832,1.19,14.46,,,1.307
2025-04-25T16:47:20.004926,0.86,16.03,,,1.342
2025-04-25T16:47:20.348025,0.53,17.60,,,2.458
2025-04-25T16:47:20.880214,0.20,19.17,,,0.854
2025-04-25T16:47:22.063549,0.02,20.01,,,0.022
2025-04-25T16:47:22.733112,0.00,20.00,,,0.000
2025-04-25T16:47:25.332382,1.00,20.00,,,1.000
2025-04-25T16:47:25.747875,2.00,20.00,,,2.000
2025-04-25T16:47:26.006684,3.00,20.00,,,3.000
2025-04-25T16:47:26.323526,4.00,20.00,,,4.000
2025-04-25T16:47:26.811304,5.00,20.00,,,5.000
2025-04-25T16:47:27.657051,6.00,20.00,,,4.000
2025-04-25T16:47:29.326865,7.00,20.00,,,3.000
2025-04-25T16:47:29.866704,8.00,20.00,,,2.000
2025-04-25T16:47:30.303708,9.00,20.00,,,1.000
2025-04-25T16:47:31.259168,9.80,20.00,,,0.200
2025-04-25T16:47:31.929777,10.00,20.00,,,0.000
2025-04-25T16:47:33.545897,11.00,20.00,,,1.000
2025-04-25T16:47:34.169897,12.00,20.00,,,2.000
2025-04-25T16:47:34.684371,13.00,20.00,,,3.000
2025-04-25T16:47:35.218751,14.00,20.00,,,4.000
2025-04-25T16:47:35.831401,15.00,20.00,,,5.000
2025-04-25T16:47:36.317325,16.00,20.00,,,4.000
2025-04-25T16:47:36.982720,17.00,20.00,,,3.000
2025-04-25T16:47:37.462275,18.00,20.00,,,2.000
2025-04-25T16:47:37.923985,19.00,20.00,,,1.000
2025-04-25T16:47:38.865517,19.80,20.00,,,0.200
2025-04-25T16:47:39.498058,20.00,20.00,,,0.000
2025-04-25T16:47:39.986136,21.00,20.00,,,1.000
2025-04-25T16:47:40.350041,22.00,20.00,,,2.000
2025-04-25T16:47:40.726537,23.00,20.00,,,3.000
2025-04-25T16:47:41.092841,24.00,20.00,,,4.000
2025-04-25T16:47:41.425720,25.00,20.00,,,5.000
2025-04-25T16:47:41.765275,26.00,20.00,,,4.000
2025-04-25T16:47:42.293505,27.00,20.00,,,3.000
2025-04-25T16:47:42.878695,28.00,20.00,,,2.000
2025-04-25T16:47:43.282978,29.00,20.00,,,1.000
2025-04-25T16:47:43.745777,29.80,20.00,,,0.200
2025-04-25T16:47:44.164854,30.00,20.00,,,0.000
2025-04-25T16:47:44.603696,31.00,20.00,,,1.000
2025-04-25T16:47:44.997500,32.00,20.00,,,2.000
2025-04-25T16:47:45.356408,33.00,20.00,,,3.000
2025-04-25T16:47:45.726379,34.00,20.00,,,4.000
2025-04-25T16:47:46.090158,35.00,20.00,,,5.000
2025-04-25T16:47:46.446611,36.00,20.00,,,4.000
2025-04-25T16:47:46.789738,37.00,20.00,,,3.000
2025-04-25T16:47:47.241010,38.00,20.00,,,2.000
2025-04-25T16:47:47.682761,39.00,20.00,,,1.000
2025-04-25T16:47:48.096033,39.80,20.00,,,0.200
2025-04-25T16:47:48.605561,40.00,20.00,,,0.000
2025-04-25T16:47:49.026737,41.00,20.00,,,1.000
2025-04-25T16:47:49.746422,42.00,20.00,,,2.000
2025-04-25T16:47:50.765107,43.00,20.00,,,3.000
2025-04-25T16:47:51.234345,44.00,20.00,,,4.000
2025-04-25T16:47:52.975652,45.00,20.00,,,5.000
2025-04-25T16:47:54.384411,46.00,20.00,,,4.000
2025-04-25T16:47:55.134615,47.00,20.00,,,3.000
2025-04-25T16:47:56.275629,48.00,20.00,,,2.000
2025-04-25T16:47:56.850187,49.00,20.00,,,1.000
2025-04-25T16:47:57.310960,49.80,20.00,,,0.200
2025-04-25T16:47:57.853414,50.00,20.00,,,0.000
2025-04-25T16:47:58.241885,51.00,20.00,,,1.000
2025-04-25T16:47:58.743961,52.00,20.00,,,2.000
2025-04-25T16:47:59.095805,53.00,20.00,,,3.000
2025-04-25T16:47:59.462076,54.00,20.00,,,4.000
2025-04-25T16:48:00.108565,55.00,20.00,,,5.000
2025-04-25T16:48:00.769779,56.00,20.00,,,4.000
2025-04-25T16:48:01.714056,57.00,20.00,,,3.000
2025-04-25T16:48:03.988881,58.00,20.00,,,2.000
2025-04-25T16:48:04.886627,59.00,20.00,,,1.000
2025-04-25T16:48:05.563427,59.80,20.00,,,0.200
2025-04-25T16:48:06.471097,60.00,20.00,,,0.000
2025-04-25T16:48:07.067124,61.00,20.00,,,1.000
2025-04-25T16:48:07.675427,62.00,20.00,,,2.000
2025-04-25T16:48:08.183606,63.00,20.00,,,3.000
2025-04-25T16:48:08.598979,64.00,20.00,,,4.000
2025-04-25T16:48:09.131236,65.00,20.00,,,5.000
2025-04-25T16:48:09.601416,66.00,20.00,,,4.000
2025-04-25T16:48:09.986524,67.00,20.00,,,3.000
2025-04-25T16:48:10.323709,68.00,20.00,,,2.000
2025-04-25T16:48:10.656664,69.00,20.00,,,1.000
2025-04-25T16:48:11.005406,69.80,20.00,,,0.200
2025-04-25T16:48:11.335095,70.00,20.00,,,0.000
2025-04-25T16:48:11.706567,71.00,20.00,,,1.000
2025-04-25T16:48:12.025079,72.00,20.00,,,2.000
2025-04-25T16:48:12.369016,73.00,20.00,,,3.000
2025-04-25T16:48:12.697558,74.00,20.00,,,4.000
2025-04-25T16:48:13.026915,75.00,20.00,,,5.000
2025-04-25T16:48:13.339982,76.00,20.00,,,4.000
2025-04-25T16:48:13.685114,77.00,20.00,,,3.000
2025-04-25T16:48:14.044955,78.00,20.00,,,2.000
2025-04-25T16:48:14.374104,79.00,20.00,,,1.000
2025-04-25T16:48:14.702222,79.80,20.00,,,0.200
2025-04-25T16:48:15.031222,80.00,20.00,,,0.000
2025-04-25T16:48:15.406598,81.00,20.00,,,1.000
2025-04-25T16:48:15.736495,82.00,20.00,,,2.000
2025-04-25T16:48:16.080705,83.00,20.00,,,3.000
2025-04-25T16:48:16.487095,84.00,20.00,,,4.000
2025-04-25T16:48:16.847140,85.00,20.00,,,5.000
2025-04-25T16:48:17.176728,86.00,20.00,,,4.000
2025-04-25T16:48:17.534118,87.00,20.00,,,3.000
2025-04-25T16:48:17.914540,88.00,20.00,,,2.000
2025-04-25T16:48:18.356546,89.00,20.00,,,1.000
2025-04-25T16:48:18.761724,89.80,20.00,,,0.200
2025-04-25T16:48:19.121605,90.00,20.00,,,0.000
2025-04-25T16:48:19.512271,91.00,20.00,,,1.000
2025-04-25T16:48:20.111286,92.00,20.00,,,2.000
2025-04-25T16:48:21.078124,93.00,20.00,,,3.000
2025-04-25T16:48:21.925701,94.00,20.00,,,4.000
2025-04-25T16:48:22.306769,95.00,20.00,,,5.000
2025-04-25T16:48:22.743839,96.00,20.00,,,4.000
2025-04-25T16:48:23.118483,97.00,20.00,,,3.000
2025-04-25T16:48:23.505659,98.00,20.00,,,2.000
2025-04-25T16:48:23.937085,99.00,20.00,,,1.000
2025-04-25T16:48:24.333862,99.80,20.00,,,0.200
2025-04-25T16:48:24.707102,100.00,20.00,,,0.000
2025-04-25T16:48:25.089828,100.00,20.00,,,0.000
2025-04-25T16:48:26.657662,100.00,19.00,,,1.000
2025-04-25T16:48:27.038166,100.00,18.00,,,2.000
2025-04-25T16:48:27.417225,100.00,17.00,,,2.000
2025-04-25T16:48:27.801783,100.00,16.00,,,1.000
2025-04-25T16:48:28.180071,100.00,15.20,,,0.200
2025-04-25T16:48:28.553569,100.00,15.00,,,0.000
2025-04-25T16:48:30.497631,100.00,15.00,,,0.000
2025-04-25T16:48:32.327658,99.00,15.00,,,1.000
2025-04-25T16:48:32.745810,98.00,15.00,,,2.000
2025-04-25T16:48:33.129378,97.00,15.00,,,3.000
2025-04-25T16:48:33.507835,96.00,15.00,,,4.000
2025-04-25T16:48:33.867629,95.00,15.00,,,5.000
2025-04-25T16:48:34.260959,94.00,15.00,,,4.000
2025-04-25T16:48:34.630657,93.00,15.00,,,3.000
2025-04-25T16:48:35.078822,92.00,15.00,,,2.000
2025-04-25T16:48:35.479298,91.00,15.00,,,1.000
2025-04-25T16:48:35.856164,90.20,15.00,,,0.200
2025-04-25T16:48:36.208058,90.00,15.00,,,0.000
2025-04-25T16:48:36.627514,89.00,15.00,,,1.000
2025-04-25T16:48:37.024534,88.00,15.00,,,2.000
2025-04-25T16:48:37.421264,87.00,15.00,,,3.000
2025-04-25T16:48:37.806355,86.00,15.00,,,4.000
2025-04-25T16:48:38.190912,85.00,15.00,,,5.000
2025-04-25T16:48:38.590571,84.00,15.00,,,4.000
2025-04-25T16:48:38.973984,83.00,15.00,,,3.000
2025-04-25T16:48:39.386580,82.00,15.00,,,2.000
2025-04-25T16:48:39.777321,81.00,15.00,,,1.000
2025-04-25T16:48:40.140127,80.20,15.00,,,0.200
2025-04-25T16:48:40.517860,80.00,15.00,,,0.000
2025-04-25T16:48:40.917474,79.00,15.00,,,1.000
2025-04-25T16:48:41.315686,78.00,15.00,,,2.000
2025-04-25T16:48:41.707437,77.00,15.00,,,3.000
2025-04-25T16:48:42.088363,76.00,15.00,,,4.000
2025-04-25T16:48:42.451057,75.00,15.00,,,5.000
2025-04-25T16:48:42.915582,74.00,15.00,,,4.000
2025-04-25T16:48:43.302745,73.00,15.00,,,3.000
2025-04-25T16:48:43.666929,72.00,15.00,,,2.000
2025-04-25T16:48:44.099123,71.00,15.00,,,1.000
2025-04-25T16:48:44.484736,70.20,15.00,,,0.200
2025-04-25T16:48:44.885938,70.00,15.00,,,0.000
2025-04-25T16:48:45.253576,69.00,15.00,,,1.000
2025-04-25T16:48:45.619419,68.00,15.00,,,2.000
2025-04-25T16:48:45.991245,67.00,15.00,,,3.000
2025-04-25T16:48:46.513502,66.00,15.00,,,4.000
2025-04-25T16:48:47.116500,65.00,15.00,,,5.000
2025-04-25T16:48:47.830431,64.00,15.00,,,4.000
2025-04-25T16:48:48.289076,63.00,15.00,,,3.000
2025-04-25T16:48:48.812350,62.00,15.00,,,2.000
2025-04-25T16:48:49.294498,61.00,15.00,,,1.000
2025-04-25T16:48:50.360654,60.20,15.00,,,0.200
2025-04-25T16:48:51.140457,60.00,15.00,,,0.000
2025-04-25T16:48:51.952954,59.00,15.00,,,1.000
2025-04-25T16:48:52.706093,58.00,15.00,,,2.000
2025-04-25T16:48:52.924825,57.00,15.00,,,3.000
2025-04-25T16:48:53.315448,56.00,15.00,,,4.000
2025-04-25T16:48:53.645928,55.00,15.00,,,5.000
2025-04-25T16:48:54.473478,54.00,15.00,,,4.000
2025-04-25T16:48:54.861959,53.00,15.00,,,3.000
2025-04-25T16:48:55.087483,52.00,15.00,,,2.000
2025-04-25T16:48:55.118731,51.00,15.00,,,1.000
2025-04-25T16:48:55.551428,50.20,15.00,,,0.200
2025-04-25T16:48:55.568693,50.00,15.00,,,0.000
2025-04-25T16:48:55.985476,49.00,15.00,,,1.000
2025-04-25T16:48:56.013432,48.00,15.00,,,2.000
2025-04-25T16:48:56.234989,47.00,15.00,,,3.000
2025-04-25T16:48:56.834607,46.00,15.00,,,4.000
2025-04-25T16:48:57.436904,45.00,15.00,,,5.000
2025-04-25T16:48:58.008429,44.00,15.00,,,4.000
2025-04-25T16:48:58.464890,43.00,15.00,,,3.000
2025-04-25T16:48:58.910367,42.00,15.00,,,2.000
2025-04-25T16:48:59.256790,41.00,15.00,,,1.000
2025-04-25T16:48:59.635316,40.20,15.00,,,0.200
2025-04-25T16:48:59.973129,40.00,15.00,,,0.000
2025-04-25T16:49:00.401440,39.00,15.00,,,1.000
2025-04-25T16:49:00.748386,38.00,15.00,,,2.000
2025-04-25T16:49:01.105809,37.00,15.00,,,3.000
2025-04-25T16:49:01.469051,36.00,15.00,,,4.000
2025-04-25T16:49:01.815474,35.00,15.00,,,5.000
2025-04-25T16:49:02.155068,34.00,15.00,,,4.000
2025-04-25T16:49:02.502315,33.00,15.00,,,3.000
2025-04-25T16:49:02.865828,32.00,15.00,,,2.000
2025-04-25T16:49:03.196351,31.00,15.00,,,1.000
2025-04-25T16:49:03.553832,30.20,15.00,,,0.200
2025-04-25T16:49:03.886654,30.00,15.00,,,0.000
2025-04-25T16:49:04.243663,29.00,15.00,,,1.000
2025-04-25T16:49:04.602578,28.00,15.00,,,2.000
2025-04-25T16:49:04.952945,27.00,15.00,,,3.000
2025-04-25T16:49:05.318450,26.00,15.00,,,4.000
2025-04-25T16:49:05.680866,25.00,15.00,,,5.000
2025-04-25T16:49:06.057358,24.00,15.00,,,4.000
2025-04-25T16:49:06.404513,23.00,15.00,,,3.000
2025-04-25T16:49:06.823923,22.00,15.00,,,2.000
2025-04-25T16:49:07.221690,21.00,15.00,,,1.000
2025-04-25T16:49:07.581988,20.20,15.00,,,0.200
2025-04-25T16:49:07.866633,20.00,15.00,,,0.000
2025-04-25T16:49:08.258970,19.00,15.00,,,1.000
2025-04-25T16:49:08.634555,18.00,15.00,,,2.000
2025-04-25T16:49:08.996725,17.00,15.00,,,3.000
2025-04-25T16:49:09.368121,16.00,15.00,,,4.000
2025-04-25T16:49:09.707325,15.00,15.00,,,5.000
2025-04-25T16:49:10.062879,14.00,15.00,,,4.000
2025-04-25T16:49:10.409825,13.00,15.00,,,3.000
2025-04-25T16:49:10.773460,12.00,15.00,,,2.000
2025-04-25T16:49:11.127237,11.00,15.00,,,1.000
2025-04-25T16:49:11.520938,10.20,15.00,,,0.200
2025-04-25T16:49:11.860278,10.00,15.00,,,0.000
2025-04-25T16:49:12.202560,9.00,15.00,,,1.000
2025-04-25T16:49:12.542839,8.00,15.00,,,2.000
2025-04-25T16:49:12.905064,7.00,15.00,,,3.000
2025-04-25T16:49:13.240475,6.00,15.00,,,4.000
2025-04-25T16:49:13.589572,5.00,15.00,,,5.000
2025-04-25T16:49:13.935977,4.00,15.00,,,4.000
2025-04-25T16:49:14.276419,3.00,15.00,,,3.000
2025-04-25T16:49:14.632461,2.00,15.00,,,2.000
